"countryregioncode","currencycode","modifieddate"
AE,AED,2014-02-08 10:17:21.510
AR,ARS,2014-02-08 10:17:21.510
AT,ATS,2014-02-08 10:17:21.510
AT,EUR,2008-04-30 00:00:00.000
AU,AUD,2014-02-08 10:17:21.510
BB,BBD,2014-02-08 10:17:21.510
BD,BDT,2014-02-08 10:17:21.510
BE,BEF,2014-02-08 10:17:21.510
BE,EUR,2008-04-30 00:00:00.000
BG,BGN,2014-02-08 10:17:21.510
BH,BHD,2014-02-08 10:17:21.510
BN,BND,2014-02-08 10:17:21.510
BO,BOB,2014-02-08 10:17:21.510
BR,BRL,2014-02-08 10:17:21.510
BS,BSD,2014-02-08 10:17:21.510
BT,BTN,2014-02-08 10:17:21.510
CA,CAD,2014-02-08 10:17:21.510
CH,CHF,2014-02-08 10:17:21.510
CL,CLP,2014-02-08 10:17:21.510
CN,CNY,2014-02-08 10:17:21.510
CO,COP,2014-02-08 10:17:21.510
CR,CRC,2014-02-08 10:17:21.510
CY,CYP,2014-02-08 10:17:21.510
CZ,CZK,2014-02-08 10:17:21.510
DE,DEM,2014-02-08 10:17:21.510
DE,EUR,2014-02-08 10:17:21.510
DK,DKK,2014-02-08 10:17:21.510
DO,DOP,2014-02-08 10:17:21.510
DZ,DZD,2014-02-08 10:17:21.510
EC,USD,2014-02-08 10:17:21.510
EE,EEK,2014-02-08 10:17:21.510
EG,EGP,2014-02-08 10:17:21.510
ES,ESP,2014-02-08 10:17:21.510
ES,EUR,2008-04-30 00:00:00.000
FI,EUR,2008-04-30 00:00:00.000
FI,FIM,2014-02-08 10:17:21.510
FJ,FJD,2014-02-08 10:17:21.510
FR,EUR,2014-02-08 10:17:21.510
FR,FRF,2014-02-08 10:17:21.510
GB,GBP,2014-02-08 10:17:21.510
GH,GHC,2014-02-08 10:17:21.510
GR,EUR,2008-04-30 00:00:00.000
GR,GRD,2014-02-08 10:17:21.510
GT,GTQ,2014-02-08 10:17:21.510
HK,HKD,2014-02-08 10:17:21.510
HR,HRK,2014-02-08 10:17:21.510
HU,HUF,2014-02-08 10:17:21.510
ID,IDR,2014-02-08 10:17:21.510
IE,EUR,2008-04-30 00:00:00.000
IE,IEP,2014-02-08 10:17:21.510
IL,ILS,2014-02-08 10:17:21.510
IN,INR,2014-02-08 10:17:21.510
IS,ISK,2014-02-08 10:17:21.510
IT,EUR,2008-04-30 00:00:00.000
IT,ITL,2014-02-08 10:17:21.510
JM,JMD,2014-02-08 10:17:21.510
JO,JOD,2014-02-08 10:17:21.510
JP,JPY,2014-02-08 10:17:21.510
KE,KES,2014-02-08 10:17:21.510
KR,KRW,2014-02-08 10:17:21.510
KW,KWD,2014-02-08 10:17:21.510
LB,LBP,2014-02-08 10:17:21.510
LK,LKR,2014-02-08 10:17:21.510
LT,LTL,2014-02-08 10:17:21.510
LU,EUR,2008-04-30 00:00:00.000
LV,LVL,2014-02-08 10:17:21.510
MA,MAD,2014-02-08 10:17:21.510
MT,MTL,2014-02-08 10:17:21.510
MU,MUR,2014-02-08 10:17:21.510
MV,MVR,2014-02-08 10:17:21.510
MX,MXN,2014-02-08 10:17:21.510
MY,MYR,2014-02-08 10:17:21.510
NA,NAD,2014-02-08 10:17:21.510
NG,NGN,2014-02-08 10:17:21.510
NL,EUR,2008-04-30 00:00:00.000
NL,NLG,2014-02-08 10:17:21.510
NO,NOK,2014-02-08 10:17:21.510
NP,NPR,2014-02-08 10:17:21.510
NZ,NZD,2014-02-08 10:17:21.510
OM,OMR,2014-02-08 10:17:21.510
PA,PAB,2014-02-08 10:17:21.510
PE,PEN,2014-02-08 10:17:21.510
PH,PHP,2014-02-08 10:17:21.510
PK,PKR,2014-02-08 10:17:21.510
PL,PLN,2014-02-08 10:17:21.510
PL,PLZ,2014-02-08 10:17:21.510
PT,EUR,2008-04-30 00:00:00.000
PT,PTE,2014-02-08 10:17:21.510
PY,PYG,2014-02-08 10:17:21.510
RO,ROL,2014-02-08 10:17:21.510
RU,RUB,2014-02-08 10:17:21.510
RU,RUR,2014-02-08 10:17:21.510
SA,SAR,2014-02-08 10:17:21.510
SE,SEK,2014-02-08 10:17:21.510
SG,SGD,2014-02-08 10:17:21.510
SI,SIT,2014-02-08 10:17:21.510
SK,SKK,2014-02-08 10:17:21.510
SV,SVC,2014-02-08 10:17:21.510
TH,THB,2014-02-08 10:17:21.510
TN,TND,2014-02-08 10:17:21.510
TR,TRL,2014-02-08 10:17:21.510
TT,TTD,2014-02-08 10:17:21.510
TW,TWD,2014-02-08 10:17:21.510
US,USD,2014-02-08 10:17:21.510
UY,UYU,2014-02-08 10:17:21.510
VE,VEB,2014-02-08 10:17:21.510
VN,VND,2014-02-08 10:17:21.510
ZA,ZAR,2014-02-08 10:17:21.510
ZW,ZWD,2014-02-08 10:17:21.510
