"salesreasonid","name","reasontype","modifieddate"
1,Price,Other,2008-04-30 00:00:00.000
2,On Promotion,Promotion,2008-04-30 00:00:00.000
3,Magazine Advertisement,Marketing,2008-04-30 00:00:00.000
4,Television  Advertisement,Marketing,2008-04-30 00:00:00.000
5,Manufacturer,Other,2008-04-30 00:00:00.000
6,Review,Other,2008-04-30 00:00:00.000
7,Demo Event,Marketing,2008-04-30 00:00:00.000
8,Sponsorship,Marketing,2008-04-30 00:00:00.000
9,Quality,Other,2008-04-30 00:00:00.000
10,Other,Other,2008-04-30 00:00:00.000
